"","beta_hc","alpha.M","alpha.m","alpha","lambda_h.max1","lambda_h.max2","tcritical.lambda_h","delta_y","v","CU.extract_delay","IC.extract_perception_delay","P.extract_delay","ph_xval","ph_yval","ph_min","ph_s","S","K_o","a_gg","a_ge","gamma_hc","tcritical.Inv_Cum_extract","tcritical.Inv_Cum_goods","eta.Kextract_max","eta.Kextract_min","eta.Kextract_s","eta.Kgoods_max","eta.Kgoods_min","eta.Kgoods_s","markup.goods","markup.extract","nature_per_unit_physical_good"
"1",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"2",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"3",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"4",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"5",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"6",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"7",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"8",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"9",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"10",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
